Id,District_Name,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
992,RANGAREDDI,Turmeric,2015-16,Kharif,2253,Hectare,7822,Tonnes,3.471815357
993,WARANGAL,Turmeric,2013-14,Kharif,10406,Hectare,47046,Tonnes,4.521045551
994,WARANGAL,Turmeric,2014-15,Kharif,8482,Hectare,42410,Tonnes,5
995,WARANGAL,Turmeric,2015-16,Kharif,8348,Hectare,41239,Tonnes,4.939985625
996,ADILABAD,Urad,2013-14,Kharif,6563,Hectare,5729,Tonnes,0.872923968
997,ADILABAD,Urad,2013-14,Rabi,296,Hectare,290,Tonnes,0.97972973
998,ADILABAD,Urad,2014-15,Kharif,3460,Hectare,3045,Tonnes,0.880057803
999,ADILABAD,Urad,2014-15,Rabi,202,Hectare,82,Tonnes,0.405940594
1000,ADILABAD,Urad,2015-16,Kharif,3276,Hectare,2519,Tonnes,0.768925519
1001,ADILABAD,Urad,2015-16,Rabi,230,Hectare,181,Tonnes,0.786956522
1002,KARIMNAGAR,Urad,2013-14,Kharif,101,Hectare,83,Tonnes,0.821782178
1003,KARIMNAGAR,Urad,2013-14,Rabi,4468,Hectare,4379,Tonnes,0.980080573
1004,KARIMNAGAR,Urad,2014-15,Kharif,68,Hectare,45,Tonnes,0.661764706
1005,KARIMNAGAR,Urad,2014-15,Rabi,2315,Hectare,940,Tonnes,0.406047516
1006,KARIMNAGAR,Urad,2015-16,Kharif,347,Hectare,161,Tonnes,0.463976945
1007,KARIMNAGAR,Urad,2015-16,Rabi,1424,Hectare,1122,Tonnes,0.787921348
1008,KHAMMAM,Urad,2013-14,Kharif,28,Hectare,23,Tonnes,0.821428571
1009,KHAMMAM,Urad,2013-14,Rabi,2118,Hectare,2234,Tonnes,1.05476865
1010,KHAMMAM,Urad,2014-15,Kharif,16,Hectare,10,Tonnes,0.625
1011,KHAMMAM,Urad,2014-15,Rabi,2025,Hectare,822,Tonnes,0.405925926
1012,KHAMMAM,Urad,2015-16,Kharif,37,Hectare,17,Tonnes,0.459459459
1013,KHAMMAM,Urad,2015-16,Rabi,1687,Hectare,1677,Tonnes,0.994072318
1014,MAHBUBNAGAR,Urad,2013-14,Kharif,1016,Hectare,835,Tonnes,0.821850394
1015,MAHBUBNAGAR,Urad,2013-14,Rabi,44,Hectare,43,Tonnes,0.977272727
1016,MAHBUBNAGAR,Urad,2014-15,Kharif,577,Hectare,379,Tonnes,0.656845754
1017,MAHBUBNAGAR,Urad,2014-15,Rabi,891,Hectare,362,Tonnes,0.406285073
1018,MAHBUBNAGAR,Urad,2015-16,Kharif,596,Hectare,277,Tonnes,0.464765101
1019,MAHBUBNAGAR,Urad,2015-16,Rabi,1560,Hectare,1229,Tonnes,0.787820513
1020,MEDAK,Urad,2013-14,Kharif,13172,Hectare,10077,Tonnes,0.765031886
1021,MEDAK,Urad,2014-15,Kharif,8255,Hectare,5069,Tonnes,0.61405209
1022,MEDAK,Urad,2014-15,Rabi,29,Hectare,12,Tonnes,0.413793103
1023,MEDAK,Urad,2015-16,Kharif,12943,Hectare,5112,Tonnes,0.394962528
1024,MEDAK,Urad,2015-16,Rabi,22,Hectare,17,Tonnes,0.772727273
1025,NALGONDA,Urad,2013-14,Rabi,764,Hectare,334,Tonnes,0.437172775
1026,NALGONDA,Urad,2014-15,Rabi,519,Hectare,211,Tonnes,0.40655106
1027,NALGONDA,Urad,2015-16,Rabi,941,Hectare,392,Tonnes,0.416578108
1028,NIZAMABAD,Urad,2013-14,Kharif,5696,Hectare,4044,Tonnes,0.70997191
1029,NIZAMABAD,Urad,2013-14,Rabi,865,Hectare,848,Tonnes,0.980346821
1030,NIZAMABAD,Urad,2014-15,Kharif,4144,Hectare,1297,Tonnes,0.312982625
1031,NIZAMABAD,Urad,2014-15,Rabi,689,Hectare,280,Tonnes,0.406386067
1032,NIZAMABAD,Urad,2015-16,Kharif,3325,Hectare,1144,Tonnes,0.34406015
